Date,Open,High,Low,Close,Volume,Adj Close
2016-09-19,115.190002,116.18,112.440002,113.550003,38741300,113.550003
2016-09-12,102.650002,116.129997,102.529999,114.919998,77645600,114.919998
2016-09-06,107.900002,108.760002,103.129997,103.129997,42200900,103.129997
2016-08-29,106.620003,108.00,105.50,107.730003,26600100,107.730003
2016-08-22,108.860001,109.32,106.309998,106.940002,24721100,106.940002
2016-08-15,108.139999,110.230003,108.080002,109.360001,26474200,109.360001
2016-08-08,107.519997,108.940002,107.160004,108.18,24901100,108.18
2016-08-01,104.410004,107.650002,104.00,107.480003,34029800,107.480003
2016-07-25,98.25,104.550003,96.419998,104.209999,51314200,103.648514
2016-07-18,98.699997,101.00,98.309998,98.660004,29513100,98.128418
2016-07-11,96.75,99.300003,96.730003,98.779999,28582100,98.247772
2016-07-05,95.389999,96.889999,94.370003,96.68,28176500,96.159088
2016-06-27,93.00,96.470001,91.50,95.889999,36865600,95.373344
2016-06-20,96.00,96.889999,92.650002,93.400002,41345800,92.896759
2016-06-13,98.690002,99.120003,95.300003,95.330002,38346500,94.81636
2016-06-06,97.989998,101.889999,97.550003,98.830002,24972800,98.297501
2016-05-31,99.599998,100.400002,96.629997,97.919998,35044200,97.392403
2016-05-23,95.870003,100.730003,95.669998,100.349998,40800000,99.809311
2016-05-16,92.389999,95.43,91.650002,95.220001,42541400,94.706955
2016-05-09,93.00,93.769997,89.470001,90.519997,43209900,90.032272
2016-05-02,93.970001,95.900002,91.849998,92.720001,45121400,92.220421
2016-04-25,105.00,105.650002,92.510002,93.739998,69884800,92.670708
2016-04-18,108.889999,108.949997,104.620003,105.68,37810600,104.47451
2016-04-11,108.970001,112.389999,108.660004,109.849998,32462000,108.596939
2016-04-04,110.419998,112.190002,108.120003,108.660004,29144500,107.420517
2016-03-28,106.00,110.419998,104.879997,109.989998,29593000,108.735336
2016-03-21,105.93,107.650002,104.889999,105.669998,29945900,104.464615
2016-03-14,101.910004,106.50,101.779999,105.919998,36414600,104.711769
2016-03-07,102.389999,102.830002,100.150002,102.260002,31102800,101.093521
2016-02-29,96.860001,103.75,96.650002,103.010002,40360700,101.834969
2016-02-22,96.309998,98.019997,93.32,96.910004,31810500,95.80455
2016-02-16,95.019997,98.889999,94.610001,96.040001,42079000,94.944473
2016-02-08,93.129997,96.349998,92.589996,93.989998,46224400,92.917854
2016-02-01,96.470001,97.330002,93.690002,94.019997,43430900,92.94751
2016-01-25,101.519997,101.529999,92.389999,97.339996,76067300,95.710281
2016-01-19,98.410004,101.459999,93.419998,101.419998,60846000,99.721977
2016-01-11,98.970001,101.190002,95.360001,97.129997,60867400,95.503799
2016-01-04,102.610001,105.849998,96.43,96.959999,68758000,95.336647
2015-12-28,107.589996,109.43,104.82,105.260002,30940300,103.497688
2015-12-21,107.279999,109.00,105.57,108.029999,31658500,106.221313
2015-12-14,112.18,112.800003,105.809998,106.029999,62952200,104.254791
2015-12-07,118.980003,119.860001,112.849998,113.18,37770800,111.285088
2015-11-30,117.989998,119.410004,114.220001,119.029999,41353100,117.03714
2015-11-23,119.269997,119.730003,117.120003,117.809998,27430100,115.83757
2015-11-16,111.379997,119.919998,111.00,119.300003,37996200,117.302628
2015-11-09,120.959999,121.809998,112.269997,112.339996,43311000,110.459145
2015-11-02,120.800003,123.82,119.610001,121.059998,39040600,119.033157
2015-10-26,118.080002,121.220001,113.989998,119.50,64472400,116.998459
2015-10-19,110.800003,119.230003,110.110001,119.080002,44308600,116.587257
2015-10-12,112.730003,112.75,109.559998,111.040001,36777700,108.715561
2015-10-05,109.879997,112.279999,108.209999,112.120003,52486600,109.772949
2015-09-28,113.849998,114.57,107.309998,110.379997,62779200,108.069366
2015-09-22,113.379997,116.690002,112.370003,114.709999,48118500,112.308731
