Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, MIDDLE",2017-1,"ALBRITTON, III",,NARCOTICS,WC,D,42794.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,27.0,130,830,830,269859.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2017-2,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,42830.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, MIDDLE",2017-3,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,42794.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, MIDDLE",2017-4,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,42801.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, MIDDLE",2017-5,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,42830.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, MIDDLE",2017-6,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,42772.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2015-7,HOPKINS,,NARCOTICS,WC,D,42053.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,16.0,61,505,331,222154.0,1522.0,42.0,0.0,0.0,0.0,0.0,42.0,,
"ALABAMA, NORTHERN",2015-8,PROCTOR,,NARCOTICS,WC,D,42212.0,30.0,0.0,30.0,INSTALLED AND USED,19.0,428.0,110,"8,133",139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-7,RELATED TO NO. 2015-7
"ALABAMA, NORTHERN",2016-17,HAIKALA,,NARCOTICS,WC,D,42478.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,121.0,24,"3,632","1,683",47746.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-20
"ALABAMA, NORTHERN",2016-18,BOWDRE,,NARCOTICS,"WC,TX",D,42513.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,385.0,93,"8,093","1,343",27458.0,2000.0,8.0,0.0,0.0,0.0,0.0,8.0,,
"ALABAMA, NORTHERN",2016-19,HAIKALA,,NARCOTICS,WC,D,42530.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,2.0,0,17,0,16408.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-20
